"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2024","31.88","44.32","45.40","30.65","37.25M","-27.82%"
"03/01/2024","44.17","43.41","46.63","40.57","949.24M","2.60%"
"02/01/2024","43.05","43.15","45.27","41.60","815.50M","-0.07%"
"01/01/2024","43.08","49.20","50.30","42.36","1.00B","-14.27%"
"12/01/2023","50.25","44.36","51.28","41.17","829.55M","12.42%"
"11/01/2023","44.70","36.50","45.34","36.28","806.64M","22.47%"
"10/01/2023","36.50","35.61","37.22","32.15","795.49M","2.67%"
"09/01/2023","35.55","35.79","40.07","33.64","841.42M","1.17%"
"08/01/2023","35.14","35.82","36.02","32.02","716.17M","-1.76%"
"07/01/2023","35.77","33.54","37.19","31.38","791.86M","6.97%"
"06/01/2023","33.44","31.80","37.11","29.69","1.07B","6.36%"
"05/01/2023","31.44","31.11","32.29","26.85","968.07M","1.22%"
"04/01/2023","31.06","32.94","33.84","28.51","728.91M","-4.93%"
"03/01/2023","32.67","25.03","32.90","24.97","1.19B","31.05%"
"02/01/2023","24.93","27.89","31.17","24.73","880.35M","-11.78%"
"01/01/2023","28.26","27.05","30.49","26.37","840.84M","6.92%"
"12/01/2022","26.43","30.24","30.48","25.35","758.55M","-12.11%"
"11/01/2022","30.07","28.80","31.33","27.17","788.94M","5.77%"
"10/01/2022","28.43","26.33","29.22","24.59","981.09M","10.32%"
"09/01/2022","25.77","31.57","32.38","25.74","889.09M","-19.27%"
"08/01/2022","31.92","36.05","37.69","31.77","899.78M","-12.09%"
"07/01/2022","36.31","37.09","40.73","35.24","792.97M","-2.94%"
"06/01/2022","37.41","44.77","44.93","36.60","783.41M","-15.78%"
"05/01/2022","44.42","43.72","46.64","40.31","773.24M","1.90%"
"04/01/2022","43.59","49.83","49.90","43.50","639.50M","-12.05%"
"03/01/2022","49.56","47.54","52.51","44.07","849.31M","3.90%"
"02/01/2022","47.70","48.78","49.97","43.63","756.83M","-2.29%"
